sd,pd,os,bs,target_co_simplified,target_pr_simplified
datatypes are considered as automatic merges,Capella,Windows 10,RESOLVED,Other,P3
enhance ui with capella-specific behaviors,Capella,Windows 10,RESOLVED,Other,P3
avoid unnecessary viewpoint contributions,Capella,Windows 10,RESOLVED,Other,P3
add rcptt tests for pattern,Capella,All,RESOLVED,Other,P3
contribute an id handler for pattern elements,Capella,Windows 10,RESOLVED,Other,P3
some enhancements for the rule dcon_01,Capella,Windows 10,VERIFIED,Other,P3
new validation rule to detect invalid pattern instances,Capella,All,RESOLVED,Other,P3
restrict occurrences of patterns popup menu,Capella,All,RESOLVED,Other,P3
[regression] order of contextual menu items is wrong,Capella,Windows 10,VERIFIED,Other,P3
[patterns] update to capella 1.4,Capella,Windows 10,VERIFIED,Other,P3
performance viewpoint,Capella,Windows 10,RESOLVED,Other,P3
migration to capella 1.0.x,Capella,Windows 10,RESOLVED,Other,P3
duplicate sections when using perfo vp,Capella,Windows 10,RESOLVED,Other,P3
[perfovp] renaming the classes timecapacity and timeconsumption,Capella,Windows 10,RESOLVED,Other,P3
[perfovp] renaming the classes timecapacity and timeconsumption,Capella,Windows 10,RESOLVED,Other,P3
updating colors should not be applied when value is 0,Capella,Windows 10,RESOLVED,Other,P3
"[perfo vp] removing ""current"" from labels",Capella,Windows 10,RESOLVED,Other,P3
npe at viewpointmanager.getinstance,Capella,Windows 10,CLOSED,Other,P3
update perfo viewpoint to work on capella 1.1.x,Capella,All,RESOLVED,Other,P3
migrate to capella 1.4.0,Capella,Windows 10,CLOSED,Other,P3
price viewpoint,Capella,Windows 10,RESOLVED,Other,P3
migration to capella 1.0.x,Capella,Windows 10,RESOLVED,Other,P3
[basic price] can't create a price element on the physical system,Capella,Windows 10,RESOLVED,Other,P3
"[price vp] removing ""current"" from labels",Capella,Windows 10,RESOLVED,Other,P3
update price viewpoint to work on capella 1.1.x,Capella,All,RESOLVED,Other,P3
migrate basic price to capella 1.3.x,Capella,Windows 10,CLOSED,Other,P3
migrate to capella 1.4.0,Capella,Windows 10,CLOSED,Other,P3
[rec-rpl] exception on edition of properties via properties view,Capella,Windows 10,VERIFIED,Other,P3
"can not cancel when using ""pencil"" tool",Capella,Windows 10,RESOLVED,Other,P3
"change a field label in ""management"" tab",Capella,All,RESOLVED,Other,P4
browse on statetransition.triggers doesn't work with libraries,Capella,Windows 10,RESOLVED,Other,P4
capella properties view framework extensibility,Capella,All,RESOLVED,Other,P3
abstractstructuredrepresentationfield should check type before reflective access,Capella,All,RESOLVED,Other,P3
[performance] assigning a type to a property is very slow,Capella,All,RESOLVED,Other,P2
refactoring of decomposeable properties,Capella,Windows 10,CLOSED,Other,P4
add valuegroups for integer and real attributes.,Capella,All,RESOLVED,Other,P3
basic ergonomic enhancements for linked text of opaque expression,Capella,All,RESOLVED,Other,P3
ease constraint edition in properties view,Capella,Windows 10,VERIFIED,Other,P3
"some elements are not displayed correctly in ""properties"" view, ""expert"" tab",Capella,All,VERIFIED,Other,P3
nebula richtext is not displayed in ie compatibility mode,Capella,Windows 10,VERIFIED,Other,P3
re-ordering of exchange items does not work in interface,Capella,All,VERIFIED,Other,P3
[richtext] typed text in descirption is lost restarting eclipse or switching from a model element to diagram element,Capella,All,VERIFIED,Other,P3
business queries should not remove current value(s) from available values,Capella,Windows 10,VERIFIED,Other,P3
properties on diagram elements shall not appears if a double click action is registered on mapping,Capella,All,VERIFIED,Other,P3
swtexception on selection changed between different project,Capella,Windows 10,VERIFIED,Other,P3
npe is thrown when switching between search and description tab,Capella,Windows 10,VERIFIED,Other,P3
disable editing of properties for a lib with read-only access,Capella,All,VERIFIED,Other,P3
provide a system property to disable nebula richtext widget,Capella,Windows 10,VERIFIED,Other,P3
spellchecking issue of rich text editor on windows,Capella,Windows 10,VERIFIED,Other,P3
some controllers in section fields are not able to find business query,Capella,All,RESOLVED,Other,P3
npe when deleting parent and child in project explorer,Capella,All,VERIFIED,Other,P3
npe when opening custom properties wizard,Capella,All,RESOLVED,Other,P3
unable to apply property value groups from a library to a pc node,Capella,Windows 10,CLOSED,Other,P3
npe in capellaembeddedlinkedtexteditorinput,Capella,All,VERIFIED,Other,P3
dead lock with the capella properties view refresh,Capella,All,VERIFIED,Other,P3
on-the fly attachment of extension objects when editing properties,Capella,All,VERIFIED,Other,P3
error while closing session with properties view without focus,Capella,All,VERIFIED,Other,P3
component properties / dialog title to improve to distinguish actors & nature,Capella,All,VERIFIED,Other,P3
deprecate rootparentcomposite variable in abstractsection,Capella,All,VERIFIED,Other,P3
namedelementsection shouldn't be abstract,Capella,Windows 10,VERIFIED,Other,P3
support for multiple property sections in a single tab,Capella,All,CLOSED,Other,P3
remove blue triangle properties twistie in properties view.,Capella,All,VERIFIED,Other,P3
[rec-rpl] interface references are missing when instanciating a rpl,Capella,Windows 10,RESOLVED,Rec-Rpl,P3
[rec-rpl] interface references are missing when instanciating a rpl,Capella,All,RESOLVED,Rec-Rpl,P3
undo/redo command names related to rec/rpl are not correct,Capella,All,RESOLVED,Rec-Rpl,P3
impossible to use add element on replica wizard,Capella,Windows 10,VERIFIED,Rec-Rpl,P4
npe on update replica in some cases,Capella,Windows 10,VERIFIED,Rec-Rpl,P4
add rec/rpl test cases in test framework,Capella,All,RESOLVED,Rec-Rpl,P3
rpl phantom link,Capella,Windows 10,CLOSED,Rec-Rpl,P3
[rec] rpl update - suffix management,Capella,Windows 10,VERIFIED,Rec-Rpl,P3
[rec] update rpl elements name with rec elements name + rpl suffix,Capella,Windows 10,VERIFIED,Rec-Rpl,P3
"[rec] update rpl elements, fix double suffix propagation",Capella,All,RESOLVED,Rec-Rpl,P4
double migration remove suffix on rpl,Capella,All,RESOLVED,Rec-Rpl,P4
"on rpl update, classcastexception",Capella,Windows 10,RESOLVED,Rec-Rpl,P4
rec / rpl selection for update,Capella,All,VERIFIED,Rec-Rpl,P3
capella libraries should support non-melodymodeller models,Capella,All,RESOLVED,Rec-Rpl,P2
"[regression][mars] create rec/create rpl, no toolbar and tree on the right",Capella,All,RESOLVED,Rec-Rpl,P2
"ability to extend scope, dependencies and shared elements computation",Capella,All,VERIFIED,Rec-Rpl,P4
update rpl raises an error when an element of rec has been deleted,Capella,All,VERIFIED,Rec-Rpl,P3
"dcon_02 - rpl to rec conformance"" is disabled when validation run on ife model",Capella,All,VERIFIED,Rec-Rpl,P4
use diffmerge ui instead of differences table,Capella,Windows 10,VERIFIED,Rec-Rpl,P3
conformance check rule should consider active filters,Capella,Windows 10,RESOLVED,Rec-Rpl,P3
replicableelementhandler.getalldefinedcatalogelementpkgs(icontext) is not implemented,Capella,Windows 10,CLOSED,Rec-Rpl,P3
change of id on elements when rec is created,Capella,Windows 10,VERIFIED,Rec-Rpl,P2
ability to update connections between pairs of rec/rpl,Capella,Windows 10,RESOLVED,Rec-Rpl,P3
popup menu is not updated on selection changes,Capella,Windows 10,RESOLVED,Rec-Rpl,P4
diffmerge incremental mode should be disable by default during rec/rpl update,Capella,All,RESOLVED,Rec-Rpl,P3
ability to mark a rpl as read-only,Capella,All,VERIFIED,Rec-Rpl,P3
[rec-rpl][m2] add new properties on catalogelement,Capella,All,RESOLVED,Rec-Rpl,P3
add go to... menu for catalogelementlink elements,Capella,All,CLOSED,Rec-Rpl,P3
"create/update rec: when a exchange is added without ports, instanciation breaks the rec",Capella,All,VERIFIED,Rec-Rpl,P4
create rec of entire project,Capella,All,VERIFIED,Rec-Rpl,P3
synchronize selection in create rpl tree location viewers,Capella,All,RESOLVED,Rec-Rpl,P3
ability to store rpl elements in specific packages,Capella,All,VERIFIED,Rec-Rpl,P3
order of rpl elements is random when creating rpl from rec,Capella,Windows 10,VERIFIED,Rec-Rpl,P3
show project name in catalog label when creating a rpl,Capella,All,CLOSED,Rec-Rpl,P3
cannot create rpl if project is selected,Capella,All,CLOSED,Rec-Rpl,P3
rec/rpl creation should not print to stdout,Capella,All,CLOSED,Rec-Rpl,P3
isrecelement/isrplelement properties in repropertytester do not work as expected,Capella,All,VERIFIED,Rec-Rpl,P3
rec creation wizard does not show suffixed elements when opened,Capella,All,VERIFIED,Rec-Rpl,P3
elements for new rec should not be suffixed by default,Capella,All,VERIFIED,Rec-Rpl,P3
better handling of references to project template elements,Capella,All,CLOSED,Rec-Rpl,P3
"as a physical specifier, when i instantiate a behavior component rpl with exchange, then i am able to select cp realization on a pab",Capella,All,CLOSED,Rec-Rpl,P3
"given a rec user, when i change the catalog in the rec wizard, i expect the rec name i set before to not be reset as its original value",Capella,All,CLOSED,Rec-Rpl,P3
provide a better message when a library element reference a parent project element when rpling,Capella,All,CLOSED,Rec-Rpl,P3
recing a component in a library without its implemented interfaces causes dependency from child to parent,Capella,All,CLOSED,Rec-Rpl,P3
recpling a rec containing a physical actor within a node instanciates the actor part within the node which is incorrect,Capella,All,CLOSED,Rec-Rpl,P3
cannot select rec catalog if first selected element is a parent of system engineering,Capella,All,VERIFIED,Rec-Rpl,P3
location inconsistencies on fragmented model or with libraries,Capella,Windows 10,VERIFIED,Rec-Rpl,P4
ease rec-rpl suffix manipulation,Capella,Windows 10,VERIFIED,Rec-Rpl,P3
instantiate whole library from rec does not manage parts,Capella,All,VERIFIED,Rec-Rpl,P3
update rec in a read-only library from rpl does not log an error in information view,Capella,All,VERIFIED,Rec-Rpl,P3
update rpl wrongly adds references toward rec elements,Capella,Windows 10,VERIFIED,Rec-Rpl,P2
update rpl doesn't finish when element is linked to several rpl,Capella,Windows 10,VERIFIED,Rec-Rpl,P4
double click on rec/rpl in arborescence does not open the wizard,Capella,Windows 10,RESOLVED,Rec-Rpl,P3
[build] configure hudson jobs,Capella,All,RESOLVED,Releng,P3
remove jaxb dependency,Capella,All,RESOLVED,Releng,P3
[build] add platforms linux 32/64,Capella,Linux,RESOLVED,Releng,P3
capella eclipse file not executable by default on linux and osx platforms,Capella,Linux,RESOLVED,Releng,P2
problem with gtk version vs embedded webkit,Capella,Linux,RESOLVED,Releng,P3
"[build] ""incubation"" shall be added to the archive files name",Capella,All,RESOLVED,Releng,P3
"[build] remove ""nosrc"" archives",Capella,All,RESOLVED,Releng,P3
experimental platform build,Capella,All,VERIFIED,Releng,P3
"use ""git build locations"" steps in the build model",Capella,All,RESOLVED,Releng,P3
the linux capella_0.8-rc_x64 version is not executable,Capella,Linux,RESOLVED,Releng,P2
problem with gtk version vs embedded webkit,Capella,Linux,RESOLVED,Releng,P3
extract external dependencies from build model,Capella,All,RESOLVED,Releng,P3
add ife sample model to capella archives,Capella,All,RESOLVED,Releng,P4
update kitalpha to latest version,Capella,Windows 10,RESOLVED,Releng,P4
update sirius.query.legacy to 1.1.0,Capella,Windows 10,RESOLVED,Releng,P4
update sirius 2.0.5 to 2.0.x,Capella,Windows 10,RESOLVED,Releng,P4
improve emf generation templates,Capella,Windows 10,RESOLVED,Releng,P3
[addons] update for delivery / xhtmldocgen 0.8.2 / xmlpivot 0.8.1 / subsystemtransition 0.8.1,Capella,Windows 10,RESOLVED,Releng,P3
part duplication on scenario refinement,Capella,Windows 10,RESOLVED,Releng,P3
integrated new version of diffmerge patterns build on sirius 3.1.0,Capella,Windows 10,RESOLVED,Releng,P4
update sirius to 3.1.0-s20150717-101708,Capella,Windows 10,RESOLVED,Releng,P4
update to sirius 3.1.0-s20150804-095058,Capella,Windows 10,RESOLVED,Releng,P4
update build capella for addons to #173,Capella,Windows 10,RESOLVED,Releng,P4
update kitalpha job for master,Capella,Windows 10,RESOLVED,Releng,P3
update to sirius 3.1.0-s20150820-082835,Capella,All,RESOLVED,Releng,P3
update to sirius 3.1.0-s20150828-102814,Capella,All,RESOLVED,Releng,P3
integration of a new version of sirius,Capella,Windows 10,RESOLVED,Releng,P4
update required java version to 1.7,Capella,All,RESOLVED,Releng,P3
update kitalpha version to the official 0.5.2 release,Capella,All,RESOLVED,Releng,P2
update kitalpha version to the latest release,Capella,All,RESOLVED,Releng,P2
capella 0.8.2 is missing execution rights on content/macosx/eclipse,Capella,Mac OS X,RESOLVED,Releng,P3
update kitalpha to latest version,Capella,All,RESOLVED,Releng,P2
update to sirius 3.1.0-s20150930-080030,Capella,Windows 10,RESOLVED,Releng,P3
capella gets out from incubation,Capella,All,RESOLVED,Releng,P3
update to sirius 3.1.0-s20151008-082237,Capella,Windows 10,RESOLVED,Releng,P4
provide build models for basic viewpoints,Capella,Windows 10,RESOLVED,Releng,P3
update build model for addons,Capella,Windows 10,RESOLVED,Releng,P3
update sirius version to 3.1.2,Capella,Windows 10,RESOLVED,Releng,P3
filemodificationtask used in m2 migration task changes end of line character sequences to '\n',Capella,Windows 10,RESOLVED,Releng,P3
update to kitalpha rc2,Capella,Windows 10,RESOLVED,Releng,P4
update to kitalpha rc4,Capella,Windows 10,RESOLVED,Releng,P4
build capella using tycho instead of egf.build,Capella,Windows 10,RESOLVED,Releng,P5
add releng for rcptt test,Capella,All,VERIFIED,Releng,P3
migrate basic vp to capella 1.0.x,Capella,Windows 10,RESOLVED,Releng,P3
experimental platform build does not start,Capella,Windows 10,RESOLVED,Releng,P2
update build model of addons to match capella 1.1.0 version,Capella,Windows 10,RESOLVED,Releng,P3
update build model of addons to match capella 1.0.0 version,Capella,Windows 10,RESOLVED,Releng,P3
capella use a stable version of amalgam,Capella,Windows 10,RESOLVED,Releng,P3
build model of addons version 1.0.0,Capella,Windows 10,RESOLVED,Releng,P3
update capella version to 1.0.2,Capella,All,RESOLVED,Releng,P4
clean-up of new add-ons repositories,Capella,Windows 10,RESOLVED,Releng,P3
build job errors,Capella,All,RESOLVED,Releng,P3
provide an oomph setup model for capella,Capella,All,RESOLVED,Releng,P3
cannot run documentation generation when using bundle pool,Capella,Windows 10,CLOSED,Releng,P3
build capella addons with tycho,Capella,Windows 10,CLOSED,Releng,P3
update site for capella 1.1 and future versions,Capella,All,RESOLVED,Releng,P3
[hipp] capella hipp jobs dir uses a lot of disk space,Capella,All,CLOSED,Releng,P2
capella master isn't executable on osx anymore,Capella,Mac OS X,RESOLVED,Releng,P3
[releng] add oomph stream for branch v1.1.x,Capella,All,RESOLVED,Releng,P3
guava versions in build and runtime are different,Capella,Windows 10,RESOLVED,Releng,P3
correction of egf build for xml pivot add-on,Capella,All,RESOLVED,Releng,P3
capella 1.1.0 macosx installation is wrong,Capella,Mac OS X,RESOLVED,Releng,P3
investigate unification of capella git repositories,Capella,All,RESOLVED,Releng,P3
[build] build capella with tycho build kitalpha,Capella,All,RESOLVED,Releng,P3
capella exe should be named capella.exe,Capella,Windows 10,RESOLVED,Releng,P3
icon of capella exe,Capella,Windows 10,RESOLVED,Releng,P3
unable to consume capella nightly update site via tpd file,Capella,All,RESOLVED,Releng,P4
[releng] capella egf patterns 's update site is not built anymore,Capella,All,VERIFIED,Releng,P3
only generate target file for built platform,Capella,All,RESOLVED,Releng,P3
avoid building all .target files in all builds,Capella,Windows 10,VERIFIED,Releng,P3
new target + maven profile for addons,Capella,All,CLOSED,Releng,P3
tips to speedup local build,Capella,All,CLOSED,Releng,P3
remove richtext update site,Capella,All,VERIFIED,Releng,P3
official capella 1.2.1 download does not include capella source code,Capella,Windows 10,RESOLVED,Releng,P3
sample model shall not be stored as a zip file in git repository,Capella,Windows 10,VERIFIED,Releng,P4
update default preference for automatic migration,Capella,Windows 10,VERIFIED,Releng,P4
bundle capella dependencies into features,Capella,All,CLOSED,Releng,P3
allows build of viewpoints generated for cdo,Capella,Windows 10,RESOLVED,Releng,P4
filtering capabilities,Capella,All,VERIFIED,RequirementsVP,P4
extending metamodel,Capella,All,RESOLVED,RequirementsVP,P3
finalize the implementation of the importer preference page,Capella,All,RESOLVED,RequirementsVP,P3
label of requirements is not updated,Capella,All,VERIFIED,RequirementsVP,P4
add coevolution to add-on packaging,Capella,All,RESOLVED,RequirementsVP,P3
filter types and include necessary types when requirements are imported.,Capella,All,VERIFIED,RequirementsVP,P3
adjust the display of requirements on capella project explorer,Capella,All,VERIFIED,RequirementsVP,P3
allow requirements allocation on representations,Capella,All,RESOLVED,RequirementsVP,P3
several issues on properties view,Capella,All,VERIFIED,RequirementsVP,P3
special characters are not correctly decoded and displayed,Capella,All,VERIFIED,RequirementsVP,P3
requirements allocation tab does not work: impossible to allocation a requirement,Capella,All,VERIFIED,RequirementsVP,P2
add filters for technical elements and change label for incoming/outgoing relations,Capella,All,VERIFIED,RequirementsVP,P3
add missing semantic browser queries,Capella,All,VERIFIED,RequirementsVP,P3
add relation type and direction config in allocation properties view,Capella,All,RESOLVED,RequirementsVP,P3
scrollbars management in properties view not user friendly when in tab requirements allocation,Capella,All,VERIFIED,RequirementsVP,P3
add the possibility to import enumeration elements,Capella,Windows 10,RESOLVED,RequirementsVP,P3
created viewpoint elements have no id,Capella,All,RESOLVED,RequirementsVP,P2
restrict queries not to propose library elements,Capella,All,VERIFIED,RequirementsVP,P3
remove import reqif from contextual menu for library models,Capella,All,RESOLVED,RequirementsVP,P3
improve documentation,Capella,All,VERIFIED,RequirementsVP,P3
"in-links not visible in tab ""requirements allocation"" of the ""properties"" view",Capella,All,VERIFIED,RequirementsVP,P3
incorrect management of enumvalues in diff/merge when importing a requirement model,Capella,All,RESOLVED,RequirementsVP,P3
add the possibility for capella elements to contain capellaoutgoingrelation,Capella,All,RESOLVED,RequirementsVP,P3
modify requirements folder icon,Capella,All,RESOLVED,RequirementsVP,P3
change options default value for merge operation,Capella,All,RESOLVED,RequirementsVP,P3
from properties view browsing enumvalueattribute values without def setting raise a npe,Capella,All,VERIFIED,RequirementsVP,P3
rework contributed doors rmf attributes,Capella,All,RESOLVED,RequirementsVP,P3
[requirement vp] change the display of allocation wizard,Capella,All,VERIFIED,RequirementsVP,P2
copy of requirement element also copies the id,Capella,All,RESOLVED,RequirementsVP,P3
reduce the scope when browsing the definition type for an attribute value in properties view,Capella,All,RESOLVED,RequirementsVP,P3
"internal relation label should be ""[type] target_req""",Capella,All,VERIFIED,RequirementsVP,P3
[requirement vp] add a sorter to the allocation wizard,Capella,All,VERIFIED,RequirementsVP,P3
missing requirement vp section for enumvalue,Capella,All,RESOLVED,RequirementsVP,P3
"add in status bar the path of selected element in requirements allocation table, and navigation menu",Capella,Windows 10,VERIFIED,RequirementsVP,P3
change label of attribute values,Capella,Windows 10,VERIFIED,RequirementsVP,P4
type and datatype of module/requirement/attributedefinition shall be limited to its current and upper levels,Capella,All,VERIFIED,RequirementsVP,P3
[requirement vp] add default relation type and validation rule for relation with null relation type,Capella,Windows 10,VERIFIED,RequirementsVP,P3
add value in the property section for integer and real attributes.,Capella,All,RESOLVED,RequirementsVP,P3
contribute a helper to get allocating/allocated requirement + relationtype from a capellaelement,Capella,Windows 10,RESOLVED,RequirementsVP,P3
copy/paste does not work on req links,Capella,All,RESOLVED,RequirementsVP,P3
add anchor for requirements viewpoint for capella,Capella,All,RESOLVED,RequirementsVP,P3
add business queries tests on requirementvp,Capella,All,RESOLVED,RequirementsVP,P4
provide a new filter button on semantic browser,Capella,All,RESOLVED,RequirementsVP,P3
relation type combobox in allocations view should not be editable,Capella,All,RESOLVED,RequirementsVP,P3
[requirement vp] contribute an idhandler for requirement vp elements,Capella,Windows 10,VERIFIED,RequirementsVP,P2
unable to import req-if only requirements into capella,Capella,All,RESOLVED,RequirementsVP,P2
npe using reqvp with capella 1.1.3,Capella,All,RESOLVED,RequirementsVP,P3
few requirements viewpoint and ui issues.,Capella,Windows 10,CLOSED,RequirementsVP,P3
requirement imported in reqif format shall keep their order in the project explorer,Capella,All,VERIFIED,RequirementsVP,P3
[regression] attributes are not properly imported,Capella,Windows 10,VERIFIED,RequirementsVP,P3
importing the same requirement requires the removal of the old requirement,Capella,Windows 10,VERIFIED,RequirementsVP,P3
update requirement's label expression from acceleo 2 to aql,Capella,All,RESOLVED,RequirementsVP,P3
add cdo feature,Capella,All,RESOLVED,RequirementsVP,P3
import shall verify reqif extension and schema compliancy to avoid invalid import,Capella,All,VERIFIED,RequirementsVP,P4
importing the same link requires the removal of the old link,Capella,Windows 10,VERIFIED,RequirementsVP,P3
attribute definitions with default values should be referenced by modules/requirements,Capella,Windows 10,RESOLVED,RequirementsVP,P3
diff/merge during import of requirement corrupt the model,Capella,Windows 10,RESOLVED,RequirementsVP,P3
"remove ""open in editor"" and ""defer"" buttons in the import reqif dialog",Capella,Windows 10,RESOLVED,RequirementsVP,P3
ability to show allocated requirements in diagrams,Capella,All,RESOLVED,RequirementsVP,P3
add semantic decoration after fix of bug 2115,Capella,All,RESOLVED,RequirementsVP,P3
capella project explorer doesn't refresh new requirements after closing/reopening a session,Capella,Windows 10,CLOSED,RequirementsVP,P3
error using requirements-viewpoint with fragmented model,Capella,Windows 10,VERIFIED,RequirementsVP,P3
elements within modules placed under elements other than perspectives have no visibility,Capella,Windows 10,CLOSED,RequirementsVP,P3
annotations about incoming/outgoing links from diagram should be stored in descriptors instead of representations,Capella,Windows 10,RESOLVED,RequirementsVP,P3
merge of reqif elements does not work,Capella,Windows 10,VERIFIED,RequirementsVP,P3
requirement representation and its model element are not linked in the semantic browser,Capella,Windows 10,CLOSED,RequirementsVP,P3
tool 'requirements' systematically removes requirements that were already present in the diagram,Capella,Windows 10,RESOLVED,RequirementsVP,P3
"while importing reqif model, uid of requirements are displayed instead of their text",Capella,Windows 10,RESOLVED,RequirementsVP,P3
clarify imported attributes,Capella,All,RESOLVED,RequirementsVP,P3
add masseditions columns for requirements,Capella,Windows 10,RESOLVED,RequirementsVP,P4
only import reqif having specification elements,Capella,Windows 10,RESOLVED,RequirementsVP,P3
remove empty [ ] if puid element not available,Capella,All,RESOLVED,RequirementsVP,P3
make requirement elements inherit from kitalpha's element class,Capella,Windows 10,RESOLVED,RequirementsVP,P3
add the icon on requirements associated with a diagram,Capella,Windows 10,RESOLVED,RequirementsVP,P3
npe when selecting a representation link,Capella,All,RESOLVED,RequirementsVP,P3
add a force refresh after application of show/hide requirements tools,Capella,All,RESOLVED,RequirementsVP,P3
contributing with requirement documentation in the capella xhtml documentation,Capella,Windows 10,RESOLVED,RequirementsVP,P3
migration failure when model contains invalid diagrams with capella requirement vp installed,Capella,All,RESOLVED,RequirementsVP,P3
[reqif] not possible to import reqif on a shared project,Capella,Windows 10,CLOSED,RequirementsVP,P3
[add-on] system to subsystem transition,Capella,All,RESOLVED,Other,P3
modifications on functionalchain splits,Capella,Windows 10,CLOSED,Other,P3
"after transition of inner pc, they are not created in the pa phase of the target model.",Capella,Windows 10,RESOLVED,Other,P4
"after the transition, functional exchange inside an actor should not be created in the target model",Capella,Windows 10,RESOLVED,Other,P4
"after transition, interfaces of source behaviour components are allocated to node physical components",Capella,Windows 10,VERIFIED,Other,P3
provide embedded documentation,Capella,Windows 10,RESOLVED,Other,P3
subsystem transition addon validation rules are not checked,Capella,All,RESOLVED,Other,P3
in system2subsystem documentation one image is very huge (about 20mo),Capella,All,RESOLVED,Other,P3
order of parts in physical architecture triggers incorrect multiphase sa-la-pa transition,Capella,Windows 10,RESOLVED,Other,P1
install fails on capella 1.0.2,Capella,Windows 10,RESOLVED,Other,P3
prepare system2subsystem for capella 1.1,Capella,Windows 10,RESOLVED,Other,P3
nosuchelementexception during multiphase transition,Capella,Windows 10,CLOSED,Other,P3
enhancement of subsystem transition,Capella,All,VERIFIED,Other,P3
fix compilation errors caused by upstream changes,Capella,Windows 10,RESOLVED,Other,P3
libraries referenced by the system model are lost in the subsystem model,Capella,Windows 10,CLOSED,Other,P3
subsystem transition doesn't complete,Capella,Windows 10,RESOLVED,Other,P4
selecting the (child) sub-system model to be the same as the (parent) system model corrupts the model,Capella,Windows 10,CLOSED,Other,P3
adapt transition subsystem to 2485,Capella,Windows 10,RESOLVED,Other,P4
migrate functional chain transition rule due to assembling functional chain enhancement in capella,Capella,Windows 10,RESOLVED,Other,P3
issue to transit new sub system with referenced data in libraries,Capella,All,RESOLVED,Other,P3
impossible to perform a vertical transition sa-la-pa if the model receiver is a library,Capella,Windows 10,RESOLVED,Other,P3
creation of new model via subsystem transition does not work as in local model,Capella,All,VERIFIED,Other,P3
incremental mode is disabled,Capella,Windows 10,RESOLVED,Other,P4
autotests - improve auto tests framework,Capella,All,RESOLVED,Other,P3
add component for tests/test framework,Capella,All,RESOLVED,Other,P3
test framework: headless diagram actions should not be registered unless tests are running,Capella,All,RESOLVED,Other,P3
fix loading of headless java external actions,Capella,All,RESOLVED,Other,P4
[test] enhance junit diagram tests,Capella,Windows 10,RESOLVED,Other,P4
toolbar buttons of information view are not working when view is reopened,Capella,Windows 10,RESOLVED,Other,P4
add layout junits,Capella,All,VERIFIED,Other,P4
sessioncontext.getsemanticelement doesn't retrieve elements on fragments,Capella,Windows 10,RESOLVED,Other,P4
property view : browse for seq link > fci links (business querry),Capella,Windows 10,VERIFIED,Other,P3
[tests] add a junit listener to be able to run junit through command line,Capella,Windows 10,VERIFIED,Other,P4
transition between sa toward la is wrong for actor having state - same for other phases,Capella,All,VERIFIED,Transition,P3
[transitions] transition fails when a realized element has a null name,Capella,All,VERIFIED,Transition,P3
statefragment duplication and stackoverflow on scenario transition,Capella,Windows 10,RESOLVED,Transition,P4
cannot do a state machine transition if its containing operational entity is realized by system,Capella,Windows 10,CLOSED,Transition,P3
transition of operational actor contained by operation entity to system actor,Capella,Windows 10,VERIFIED,Transition,P3
transition on actor does not include generalization link,Capella,Windows 10,RESOLVED,Transition,P3
refinement of interface scenario does not work,Capella,All,RESOLVED,Transition,P3
communication links should be traced by communicationlinkallocation instead of transfolink during a transition,Capella,Windows 10,RESOLVED,Transition,P3
transition on certain ei does not transit the ei element,Capella,Windows 10,RESOLVED,Transition,P3
update of communication links breaks some links in the target component,Capella,Windows 10,VERIFIED,Transition,P3
refinement of interface scenario keeps holdingresource references,Capella,All,RESOLVED,Transition,P2
transition not proposed at the right place in activity explorer,Capella,Windows 10,CLOSED,Transition,P3
stack overflow on functional transition,Capella,Windows 10,VERIFIED,Transition,P4
refactoring of transitions between engineering phases,Capella,All,RESOLVED,Transition,P4
allow statemachines to be contained in different types of container -> transitions must work,Capella,All,RESOLVED,Transition,P3
[m&s] entry/exit point icons have a white background,Capella,Windows 10,RESOLVED,Transition,P4
capella meta-model enhancements,Capella,All,RESOLVED,Transition,P4
scopedcapellapreferencesstore.contains(string) method has not the expected behavior,Capella,All,CLOSED,Transition,P3
[transition] store categories choice into preferences and improve the ui,Capella,All,VERIFIED,Transition,P3
"[transition] add ""merge all"" button in transition ui",Capella,All,VERIFIED,Transition,P3
"[transition] improve ""merge all""",Capella,All,RESOLVED,Transition,P3
small improvements on transition ui,Capella,All,VERIFIED,Transition,P3
export all packages from transition.topdown,Capella,All,RESOLVED,Transition,P3
excessive use of collection<object>,Capella,All,RESOLVED,Transition,P3
method resolvesemanticobject should be reused,Capella,Windows 10,CLOSED,Transition,P3
sidtraceabilityhandler raises an exception when the model element hasn't an sid attribute,Capella,All,VERIFIED,Transition,P3
prevent creation of unnecessary packages,Capella,Windows 10,VERIFIED,Transition,P4
interfaces from allocated functions should ignore internal exchanges,Capella,All,RESOLVED,Transition,P3
[tests] move transitiontest.mustbe* methods to helper class,Capella,All,CLOSED,Transition,P4
allow customisation of transition log messages,Capella,All,RESOLVED,Transition,P3
"[transition] with capella 0.8 constraints are not transitioned when they are referenced by guards, pre/post condition, exchange context",Capella,Windows 10,VERIFIED,Transition,P3
[transition] with capella 0.8 transition events and related constraints are not transitioned,Capella,All,RESOLVED,Transition,P3
fs to es transition: lifelines names are wrong!,Capella,Windows 10,CLOSED,Transition,P3
refinement tests fail if live rule i_37 (referential integrity) is active,Capella,All,RESOLVED,Transition,P3
transition on components/actors shall not transition the part if the component is already transitioned.,Capella,All,VERIFIED,Transition,P3
npe on transition from lc to pc,Capella,All,VERIFIED,Transition,P3
finalize activities are not called on cancel,Capella,Windows 10,VERIFIED,Transition,P4
